"atlassian_light_token_cleaned","atlassian_value","atlassian_type","atlassian_description"
"ds-text","#172B4D","color",
"ds-text-accent-lime","#4C6B1F","color",
"ds-text-accent-lime-bolder","#37471F","color",
"ds-text-accent-red","#AE2E24","color",
"ds-text-accent-red-bolder","#5D1F1A","color",
"ds-text-accent-orange","#A54800","color",
"ds-text-accent-orange-bolder","#702E00","color",
"ds-text-accent-yellow","#7F5F01","color",
"ds-text-accent-yellow-bolder","#533F04","color",
"ds-text-accent-green","#216E4E","color",
"ds-text-accent-green-bolder","#164B35","color",
"ds-text-accent-teal","#206A83","color",
"ds-text-accent-teal-bolder","#164555","color",
"ds-text-accent-blue","#0055CC","color",
"ds-text-accent-blue-bolder","#09326C","color",
"ds-text-accent-purple","#5E4DB2","color",
"ds-text-accent-purple-bolder","#352C63","color",
"ds-text-accent-magenta","#943D73","color",
"ds-text-accent-magenta-bolder","#50253F","color",
"ds-text-accent-gray","#44546F","color",
"ds-text-accent-gray-bolder","#091E42","color",
"ds-text-disabled","#091E424F","color",
"ds-text-inverse","#FFFFFF","color",
"ds-text-selected","#0C66E4","color",
"ds-text-brand","#0C66E4","color",
"ds-text-danger","#AE2E24","color",
"ds-text-warning","#A54800","color",
"ds-text-warning-inverse","#172B4D","color",
"ds-text-success","#216E4E","color",
"ds-text-discovery","#5E4DB2","color",
"ds-text-information","#0055CC","color",
"ds-text-subtlest","#626F86","color",
"ds-text-subtle","#44546F","color",
"ds-link","#0C66E4","color",
"ds-link-pressed","#0055CC","color",
"ds-link-visited","#5E4DB2","color",
"ds-icon","#44546F","color",
"ds-icon-accent-lime","#6A9A23","color",
"ds-icon-accent-red","#C9372C","color",
"ds-icon-accent-orange","#E56910","color",
"ds-icon-accent-yellow","#B38600","color",
"ds-icon-accent-green","#22A06B","color",
"ds-icon-accent-teal","#2898BD","color",
"ds-icon-accent-blue","#1D7AFC","color",
"ds-icon-accent-purple","#8270DB","color",
"ds-icon-accent-magenta","#CD519D","color",
"ds-icon-accent-gray","#758195","color",
"ds-icon-disabled","#091E424F","color",
"ds-icon-inverse","#FFFFFF","color",
"ds-icon-selected","#0C66E4","color",
"ds-icon-brand","#0C66E4","color",
"ds-icon-danger","#C9372C","color",
"ds-icon-warning","#E56910","color",
"ds-icon-warning-inverse","#172B4D","color",
"ds-icon-success","#22A06B","color",
"ds-icon-discovery","#8270DB","color",
"ds-icon-information","#1D7AFC","color",
"ds-icon-subtle","#626F86","color",
"ds-border","#091E4224","color",
"ds-border-accent-lime","#6A9A23","color",
"ds-border-accent-red","#E2483D","color",
"ds-border-accent-orange","#E56910","color",
"ds-border-accent-yellow","#B38600","color",
"ds-border-accent-green","#22A06B","color",
"ds-border-accent-teal","#2898BD","color",
"ds-border-accent-blue","#1D7AFC","color",
"ds-border-accent-purple","#8270DB","color",
"ds-border-accent-magenta","#CD519D","color",
"ds-border-accent-gray","#758195","color",
"ds-border-disabled","#091E420F","color",
"ds-border-focused","#388BFF","color",
"ds-border-input","#091E4224","color",
"ds-border-inverse","#FFFFFF","color",
"ds-border-selected","#0C66E4","color",
"ds-border-brand","#0C66E4","color",
"ds-border-danger","#E2483D","color",
"ds-border-warning","#E56910","color",
"ds-border-success","#22A06B","color",
"ds-border-discovery","#8270DB","color",
"ds-border-information","#1D7AFC","color",
"ds-border-bold","#758195","color",
"ds-background-accent-lime-subtlest","#EFFFD6","color",
"ds-background-accent-lime-subtlest-hovered","#D3F1A7","color",
"ds-background-accent-lime-subtlest-pressed","#B3DF72","color",
"ds-background-accent-lime-subtler","#D3F1A7","color",
"ds-background-accent-lime-subtler-hovered","#B3DF72","color",
"ds-background-accent-lime-subtler-pressed","#94C748","color",
"ds-background-accent-lime-subtle","#94C748","color",
"ds-background-accent-lime-subtle-hovered","#B3DF72","color",
"ds-background-accent-lime-subtle-pressed","#D3F1A7","color",
"ds-background-accent-lime-bolder","#5B7F24","color",
"ds-background-accent-lime-bolder-hovered","#4C6B1F","color",
"ds-background-accent-lime-bolder-pressed","#37471F","color",
"ds-background-accent-red-subtlest","#FFECEB","color",
"ds-background-accent-red-subtlest-hovered","#FFD5D2","color",
"ds-background-accent-red-subtlest-pressed","#FD9891","color",
"ds-background-accent-red-subtler","#FFD5D2","color",
"ds-background-accent-red-subtler-hovered","#FD9891","color",
"ds-background-accent-red-subtler-pressed","#F87168","color",
"ds-background-accent-red-subtle","#F87168","color",
"ds-background-accent-red-subtle-hovered","#FD9891","color",
"ds-background-accent-red-subtle-pressed","#FFD5D2","color",
"ds-background-accent-red-bolder","#C9372C","color",
"ds-background-accent-red-bolder-hovered","#AE2E24","color",
"ds-background-accent-red-bolder-pressed","#5D1F1A","color",
"ds-background-accent-orange-subtlest","#FFF3EB","color",
"ds-background-accent-orange-subtlest-hovered","#FEDEC8","color",
"ds-background-accent-orange-subtlest-pressed","#FEC195","color",
"ds-background-accent-orange-subtler","#FEDEC8","color",
"ds-background-accent-orange-subtler-hovered","#FEC195","color",
"ds-background-accent-orange-subtler-pressed","#FEA362","color",
"ds-background-accent-orange-subtle","#FEA362","color",
"ds-background-accent-orange-subtle-hovered","#FEC195","color",
"ds-background-accent-orange-subtle-pressed","#FEDEC8","color",
"ds-background-accent-orange-bolder","#C25100","color",
"ds-background-accent-orange-bolder-hovered","#A54800","color",
"ds-background-accent-orange-bolder-pressed","#702E00","color",
"ds-background-accent-yellow-subtlest","#FFF7D6","color",
"ds-background-accent-yellow-subtlest-hovered","#F8E6A0","color",
"ds-background-accent-yellow-subtlest-pressed","#F5CD47","color",
"ds-background-accent-yellow-subtler","#F8E6A0","color",
"ds-background-accent-yellow-subtler-hovered","#F5CD47","color",
"ds-background-accent-yellow-subtler-pressed","#E2B203","color",
"ds-background-accent-yellow-subtle","#F5CD47","color",
"ds-background-accent-yellow-subtle-hovered","#E2B203","color",
"ds-background-accent-yellow-subtle-pressed","#CF9F02","color",
"ds-background-accent-yellow-bolder","#946F00","color",
"ds-background-accent-yellow-bolder-hovered","#7F5F01","color",
"ds-background-accent-yellow-bolder-pressed","#533F04","color",
"ds-background-accent-green-subtlest","#DCFFF1","color",
"ds-background-accent-green-subtlest-hovered","#BAF3DB","color",
"ds-background-accent-green-subtlest-pressed","#7EE2B8","color",
"ds-background-accent-green-subtler","#BAF3DB","color",
"ds-background-accent-green-subtler-hovered","#7EE2B8","color",
"ds-background-accent-green-subtler-pressed","#4BCE97","color",
"ds-background-accent-green-subtle","#4BCE97","color",
"ds-background-accent-green-subtle-hovered","#7EE2B8","color",
"ds-background-accent-green-subtle-pressed","#BAF3DB","color",
"ds-background-accent-green-bolder","#1F845A","color",
"ds-background-accent-green-bolder-hovered","#216E4E","color",
"ds-background-accent-green-bolder-pressed","#164B35","color",
"ds-background-accent-teal-subtlest","#E7F9FF","color",
"ds-background-accent-teal-subtlest-hovered","#C6EDFB","color",
"ds-background-accent-teal-subtlest-pressed","#9DD9EE","color",
"ds-background-accent-teal-subtler","#C6EDFB","color",
"ds-background-accent-teal-subtler-hovered","#9DD9EE","color",
"ds-background-accent-teal-subtler-pressed","#6CC3E0","color",
"ds-background-accent-teal-subtle","#6CC3E0","color",
"ds-background-accent-teal-subtle-hovered","#9DD9EE","color",
"ds-background-accent-teal-subtle-pressed","#C6EDFB","color",
"ds-background-accent-teal-bolder","#227D9B","color",
"ds-background-accent-teal-bolder-hovered","#206A83","color",
"ds-background-accent-teal-bolder-pressed","#164555","color",
"ds-background-accent-blue-subtlest","#E9F2FF","color",
"ds-background-accent-blue-subtlest-hovered","#CCE0FF","color",
"ds-background-accent-blue-subtlest-pressed","#85B8FF","color",
"ds-background-accent-blue-subtler","#CCE0FF","color",
"ds-background-accent-blue-subtler-hovered","#85B8FF","color",
"ds-background-accent-blue-subtler-pressed","#579DFF","color",
"ds-background-accent-blue-subtle","#579DFF","color",
